"id","long","lat","order","hole","piece","group","N"
"1",477.957702087905,-158.806010556529,1,FALSE,"1","1.1",0
"1",531.686198679082,-127.785848586459,2,FALSE,"1","1.1",0
"1",585.414695270259,-158.806010556529,3,FALSE,"1","1.1",0
"1",585.414695270259,-220.846334496669,4,FALSE,"1","1.1",0
"1",531.686198679082,-251.866496466739,5,FALSE,"1","1.1",0
"1",477.957702087905,-220.846334496669,6,FALSE,"1","1.1",0
"1",477.957702087905,-158.806010556529,7,FALSE,"1","1.1",0
"10",531.686198679082,120.375447174101,1,FALSE,"1","10.1",0
"10",585.414695270259,151.395609144171,2,FALSE,"1","10.1",0
"10",639.143191861436,120.375447174101,3,FALSE,"1","10.1",0
"10",639.143191861436,58.3351232339607,4,FALSE,"1","10.1",0
"10",585.414695270259,27.3149612638907,5,FALSE,"1","10.1",0
"10",531.686198679082,58.3351232339607,6,FALSE,"1","10.1",0
"10",531.686198679082,120.375447174101,7,FALSE,"1","10.1",0
"100",1606.25613050262,1050.9803062762,1,FALSE,"1","100.1",59
"100",1659.9846270938,1082.00046824627,2,FALSE,"1","100.1",59
"100",1713.71312368498,1050.9803062762,3,FALSE,"1","100.1",59
"100",1713.71312368498,988.93998233606,4,FALSE,"1","100.1",59
"100",1659.9846270938,957.91982036599,5,FALSE,"1","100.1",59
"100",1606.25613050262,988.93998233606,6,FALSE,"1","100.1",59
"100",1606.25613050262,1050.9803062762,7,FALSE,"1","100.1",59
"101",1713.71312368498,1050.9803062762,1,FALSE,"1","101.1",48
"101",1767.44162027616,1082.00046824627,2,FALSE,"1","101.1",48
"101",1821.17011686733,1050.9803062762,3,FALSE,"1","101.1",48
"101",1821.17011686733,988.93998233606,4,FALSE,"1","101.1",48
"101",1767.44162027616,957.91982036599,5,FALSE,"1","101.1",48
"101",1713.71312368498,988.93998233606,6,FALSE,"1","101.1",48
"101",1713.71312368498,1050.9803062762,7,FALSE,"1","101.1",48
"102",1821.17011686733,1050.9803062762,1,FALSE,"1","102.1",1
"102",1874.89861345851,1082.00046824627,2,FALSE,"1","102.1",1
"102",1928.62711004969,1050.9803062762,3,FALSE,"1","102.1",1
"102",1928.62711004969,988.93998233606,4,FALSE,"1","102.1",1
"102",1874.89861345851,957.91982036599,5,FALSE,"1","102.1",1
"102",1821.17011686733,988.93998233606,6,FALSE,"1","102.1",1
"102",1821.17011686733,1050.9803062762,7,FALSE,"1","102.1",1
"103",3003.19704187323,1050.9803062762,1,FALSE,"1","103.1",0
"103",3056.92553846441,1082.00046824627,2,FALSE,"1","103.1",0
"103",3110.65403505558,1050.9803062762,3,FALSE,"1","103.1",0
"103",3110.65403505558,988.93998233606,4,FALSE,"1","103.1",0
"103",3056.92553846441,957.91982036599,5,FALSE,"1","103.1",0
"103",3003.19704187323,988.93998233606,6,FALSE,"1","103.1",0
"103",3003.19704187323,1050.9803062762,7,FALSE,"1","103.1",0
"104",155.586722540842,1144.04079218641,1,FALSE,"1","104.1",0
"104",209.315219132019,1175.06095415648,2,FALSE,"1","104.1",0
"104",263.043715723196,1144.04079218641,3,FALSE,"1","104.1",0
"104",263.043715723196,1082.00046824627,4,FALSE,"1","104.1",0
"104",209.315219132019,1050.9803062762,5,FALSE,"1","104.1",0
"104",155.586722540842,1082.00046824627,6,FALSE,"1","104.1",0
"104",155.586722540842,1144.04079218641,7,FALSE,"1","104.1",0
"105",263.043715723196,1144.04079218641,1,FALSE,"1","105.1",0
"105",316.772212314373,1175.06095415648,2,FALSE,"1","105.1",0
"105",370.50070890555,1144.04079218641,3,FALSE,"1","105.1",0
"105",370.50070890555,1082.00046824627,4,FALSE,"1","105.1",0
"105",316.772212314373,1050.9803062762,5,FALSE,"1","105.1",0
"105",263.043715723196,1082.00046824627,6,FALSE,"1","105.1",0
"105",263.043715723196,1144.04079218641,7,FALSE,"1","105.1",0
"106",370.50070890555,1144.04079218641,1,FALSE,"1","106.1",0
"106",424.229205496727,1175.06095415648,2,FALSE,"1","106.1",0
"106",477.957702087904,1144.04079218641,3,FALSE,"1","106.1",0
"106",477.957702087904,1082.00046824627,4,FALSE,"1","106.1",0
"106",424.229205496727,1050.9803062762,5,FALSE,"1","106.1",0
"106",370.50070890555,1082.00046824627,6,FALSE,"1","106.1",0
"106",370.50070890555,1144.04079218641,7,FALSE,"1","106.1",0
"107",477.957702087905,1144.04079218641,1,FALSE,"1","107.1",0
"107",531.686198679082,1175.06095415648,2,FALSE,"1","107.1",0
"107",585.414695270259,1144.04079218641,3,FALSE,"1","107.1",0
"107",585.414695270259,1082.00046824627,4,FALSE,"1","107.1",0
"107",531.686198679082,1050.9803062762,5,FALSE,"1","107.1",0
"107",477.957702087905,1082.00046824627,6,FALSE,"1","107.1",0
"107",477.957702087905,1144.04079218641,7,FALSE,"1","107.1",0
"108",585.414695270259,1144.04079218641,1,FALSE,"1","108.1",0
"108",639.143191861436,1175.06095415648,2,FALSE,"1","108.1",0
"108",692.871688452613,1144.04079218641,3,FALSE,"1","108.1",0
"108",692.871688452613,1082.00046824627,4,FALSE,"1","108.1",0
"108",639.143191861436,1050.9803062762,5,FALSE,"1","108.1",0
"108",585.414695270259,1082.00046824627,6,FALSE,"1","108.1",0
"108",585.414695270259,1144.04079218641,7,FALSE,"1","108.1",0
"109",692.871688452613,1144.04079218641,1,FALSE,"1","109.1",2
"109",746.60018504379,1175.06095415648,2,FALSE,"1","109.1",2
"109",800.328681634967,1144.04079218641,3,FALSE,"1","109.1",2
"109",800.328681634967,1082.00046824627,4,FALSE,"1","109.1",2
